track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,release_date,stream_percentage,spotify_percentage,more_than_10M_streams,three_or_more_artist,Summer,top10_more_in_spotify_than_apple
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,899183384.0,202,119,318,38,96,107,B,Major,80,82,80,43,0,14,4,2022-03-25,24.27669699155198,97.23817336614712,True,False,False,True
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289.0,35,109,41,14,211,122,F#,Minor,81,74,71,14,0,56,4,2023-06-29,1.6535373647574336,96.08501118568232,True,False,True,False
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812.0,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,2023-01-31,11.60480530394204,97.89644012944983,True,False,False,True
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954.0,0,0,143,38,0,110,B,Minor,67,78,85,2,0,33,5,2023-05-25,3.4398640202948685,100.0,True,False,False,False
Rush,Troye Sivan,1,2023,7,13,864,78,22581161.0,71,135,50,1,294,126,F,Minor,74,35,84,0,0,11,6,2023-07-13,0.6096598458879562,92.40641711229947,True,False,True,False
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266.0,20,185,13,8,197,168,F#,Major,56,63,87,39,0,11,5,2023-06-28,1.4118722305900828,93.00699300699301,True,False,True,False
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510.0,113,149,245,23,27,98,C#,Minor,71,17,61,36,0,8,5,2022-12-02,22.785675434606006,98.1623028134656,True,True,False,True
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277.0,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,2022-10-21,26.99180881277848,97.4045474045474,True,False,False,True
TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393.0,115,123,184,18,354,180,E,Minor,72,61,63,67,0,9,28,2023-02-23,16.711877108644032,97.3857694930666,True,False,False,True
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413.0,22,33,34,7,184,120,,Major,81,63,68,11,0,11,4,2023-06-01,3.3241333930940615,98.12286689419795,True,True,False,False
